City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yulara,AU,2021-07-23 00:29:02,-25.2406,130.9889,53.44,62,2,6.91
68,Constitucion,CL,2021-07-23 00:26:31,-35.3333,-72.4167,53.49,85,100,10.13
69,Isangel,VU,2021-07-23 00:29:02,-19.55,169.2667,80.71,78,75,3.44
70,Fruitvale,US,2021-07-23 00:29:03,39.0817,-108.4968,94.33,26,1,1.99
71,Jumla,NP,2021-07-23 00:29:03,29.2747,82.1838,63.34,96,100,2.04
72,Hithadhoo,MV,2021-07-23 00:29:03,-0.6,73.0833,79.66,81,100,10.02
73,Ondangwa,NA,2021-07-23 00:29:04,-17.9167,15.95,51.8,37,0,4.61
74,Iqaluit,CA,2021-07-23 00:27:06,63.7506,-68.5145,49.73,93,90,11.01
75,Banda Aceh,ID,2021-07-23 00:29:04,5.5577,95.3222,80.47,76,100,14.54
76,Bratsk,RU,2021-07-23 00:29:04,56.1325,101.6142,55.89,76,34,6.33
77,Guerrero Negro,MX,2021-07-23 00:24:18,27.9769,-114.0611,78.1,61,50,14.38
78,Luderitz,NA,2021-07-23 00:28:18,-26.6481,15.1594,56.26,35,4,9.17
79,Porto Novo,BJ,2021-07-23 00:28:42,6.4965,2.6036,78.62,79,57,8.34
80,Nikolskoye,RU,2021-07-23 00:27:14,59.7035,30.7861,62.49,75,97,5.35
81,Husavik,IS,2021-07-23 00:29:05,66.0449,-17.3389,55.31,72,76,7.0
82,Mount Gambier,AU,2021-07-23 00:29:05,-37.8333,140.7667,44.51,87,90,10.36
83,Bukama,CD,2021-07-23 00:29:05,-9.2,25.85,69.12,37,4,3.51
84,Yeppoon,AU,2021-07-23 00:29:05,-23.1333,150.7333,64.18,57,0,7.43
85,Mae Chan,TH,2021-07-23 00:29:06,20.1467,99.8526,75.78,97,99,1.57
86,Pandan,PH,2021-07-23 00:29:06,14.0453,124.1694,83.48,76,100,18.43
87,Busselton,AU,2021-07-23 00:27:18,-33.65,115.3333,54.09,78,100,26.62
88,Sao Joao Da Barra,BR,2021-07-23 00:27:15,-21.6403,-41.0511,67.39,75,7,6.51
89,Khatanga,RU,2021-07-23 00:29:07,71.9667,102.5,62.49,64,79,10.36
90,Fort Nelson,CA,2021-07-23 00:29:07,58.8053,-122.7002,58.59,94,90,4.61
91,Leningradskiy,RU,2021-07-23 00:29:07,69.3833,178.4167,40.19,82,84,11.3
92,College,US,2021-07-23 00:29:07,64.8569,-147.8028,82.0,39,75,8.05
93,Victoria,HK,2021-07-23 00:27:49,22.2855,114.1577,87.33,84,97,1.01
94,Lavrentiya,RU,2021-07-23 00:29:08,65.5833,-171.0,43.03,80,99,2.55
95,Los Llanos De Aridane,ES,2021-07-23 00:29:08,28.6585,-17.9182,69.55,86,0,23.02
96,Baykalsk,RU,2021-07-23 00:29:08,51.5058,104.1469,61.56,90,71,3.33
97,Saint George,US,2021-07-23 00:26:07,37.1041,-113.5841,94.39,37,1,4.0
98,Upernavik,GL,2021-07-23 00:27:44,72.7868,-56.1549,40.39,95,100,3.47
99,Punta Arenas,CL,2021-07-23 00:24:56,-53.15,-70.9167,35.71,87,40,9.22
100,Yar-Sale,RU,2021-07-23 00:29:09,66.8333,70.8333,50.56,63,85,5.08
101,Langham,CA,2021-07-23 00:29:09,52.3668,-106.9679,89.44,20,0,15.86
102,Letlhakane,BW,2021-07-23 00:29:09,-21.4167,25.5833,40.95,16,0,10.29
103,Karratha,AU,2021-07-23 00:29:10,-20.7377,116.8463,69.15,34,13,9.93
104,Bengkulu,ID,2021-07-23 00:26:58,-3.8004,102.2655,75.51,84,69,3.4
105,Tura,IN,2021-07-23 00:29:10,25.5198,90.2201,75.22,95,84,5.3
106,Penapolis,BR,2021-07-23 00:29:10,-21.4197,-50.0775,71.62,29,0,8.79
107,Jamestown,US,2021-07-23 00:26:43,42.097,-79.2353,69.39,59,1,3.44
108,Port Elizabeth,ZA,2021-07-23 00:27:15,-33.918,25.5701,50.29,81,75,5.75
109,Manono,CD,2021-07-23 00:29:11,-7.3,27.4167,72.59,38,9,2.53
110,Muros,ES,2021-07-23 00:29:11,42.7762,-9.0603,64.9,89,83,3.53
111,Hambantota,LK,2021-07-23 00:28:02,6.1241,81.1185,80.94,94,75,8.05
112,Saint Anthony,US,2021-07-23 00:28:50,45.0205,-93.218,84.92,62,1,3.0
113,Penticton,CA,2021-07-23 00:27:40,49.4806,-119.5858,85.41,17,20,0.0
114,Lar,IN,2021-07-23 00:29:11,26.2039,83.9717,84.24,80,65,5.77
115,Gambela,ET,2021-07-23 00:29:12,8.25,34.5833,68.4,87,79,4.0
116,Hirara,JP,2021-07-23 00:29:12,24.8,125.2833,80.87,100,75,46.04
117,Esperance,AU,2021-07-23 00:28:51,-33.8667,121.9,53.44,65,37,21.39
118,Vardo,NO,2021-07-23 00:29:12,70.3705,31.1107,45.25,81,99,31.36
119,Lodja,CD,2021-07-23 00:29:13,-3.4833,23.4333,78.91,29,80,0.87
120,Olonets,RU,2021-07-23 00:29:13,60.9847,32.9698,50.14,92,72,5.23
121,Mango,US,2021-07-23 00:29:13,27.9797,-82.3065,89.33,77,1,3.44
122,Raga,SS,2021-07-23 00:29:13,8.4596,25.678,67.64,96,48,3.69
123,Lebu,CL,2021-07-23 00:28:14,-37.6167,-73.65,49.95,88,100,6.44
124,Sumbe,AO,2021-07-23 00:29:14,-11.2061,13.8437,70.39,85,82,2.82
125,Katsuura,JP,2021-07-23 00:29:14,35.1333,140.3,86.11,71,16,4.9
126,Karlskrona,SE,2021-07-23 00:26:16,56.1616,15.5866,57.65,82,10,7.56
127,Ancud,CL,2021-07-23 00:28:23,-41.8697,-73.8203,47.73,93,100,7.25
128,Nayudupeta,IN,2021-07-23 00:29:14,13.9,79.9,85.08,64,99,8.14
129,Ahero,KE,2021-07-23 00:29:15,-0.1746,34.9163,65.07,74,20,3.4
130,Tuktoyaktuk,CA,2021-07-23 00:27:18,69.4541,-133.0374,51.8,93,90,16.11
131,George Town,MY,2021-07-23 00:27:42,5.4112,100.3354,83.89,81,20,1.99
132,Grants Pass,US,2021-07-23 00:29:15,42.439,-123.3284,91.87,18,1,7.0
133,Tiarei,PF,2021-07-23 00:27:38,-17.5333,-149.3333,82.42,69,21,13.04
134,Wenling,CN,2021-07-23 00:29:15,28.3669,121.36,78.91,90,81,22.84
135,Nalut,LY,2021-07-23 00:29:15,30.3333,10.85,77.9,41,0,14.45
136,Porto Walter,BR,2021-07-23 00:29:16,-8.2686,-72.7439,74.43,56,22,1.05
137,Dunedin,NZ,2021-07-23 00:29:16,-45.8742,170.5036,53.8,59,5,7.0
138,Slave Lake,CA,2021-07-23 00:29:16,55.2834,-114.769,67.98,34,90,25.32
139,Fallon,US,2021-07-23 00:29:17,39.4735,-118.7774,96.58,11,75,3.44
140,Bataipora,BR,2021-07-23 00:29:17,-22.2953,-53.2711,63.37,29,0,5.1
141,Karatau,KZ,2021-07-23 00:29:17,43.1667,70.4667,71.35,33,0,2.1
142,Palmerston,AU,2021-07-23 00:29:18,-12.486,130.9833,77.9,85,38,1.14
143,Akyab,MM,2021-07-23 00:29:18,20.15,92.9,82.15,84,100,21.34
144,Tawang,IN,2021-07-23 00:29:18,27.5833,91.8667,58.21,92,86,2.62
145,Lac Du Bonnet,CA,2021-07-23 00:29:19,50.2536,-96.0612,84.58,53,67,9.75
146,Bethel,US,2021-07-23 00:27:08,41.3712,-73.414,75.65,74,40,0.0
147,Samarai,PG,2021-07-23 00:27:42,-10.6167,150.6667,78.76,83,100,13.4
148,Westerland,DE,2021-07-23 00:29:19,54.9079,8.3033,60.82,77,90,13.8
149,Rocha,UY,2021-07-23 00:29:19,-34.4833,-54.3333,49.41,76,86,6.82
150,Nenjiang,CN,2021-07-23 00:29:20,49.1833,125.2167,74.44,91,44,10.65
151,Ambilobe,MG,2021-07-23 00:29:20,-13.2,49.05,63.52,78,0,3.36
152,Bhayavadar,IN,2021-07-23 00:29:20,21.85,70.25,81.63,85,99,12.93
153,Puro,PH,2021-07-23 00:29:21,12.4841,123.3827,83.64,74,96,25.52
154,Naryan-Mar,RU,2021-07-23 00:29:21,67.6713,53.087,48.81,94,99,11.36
155,Portland,US,2021-07-23 00:26:52,45.5234,-122.6762,84.7,37,20,1.01
156,Lilongwe,MW,2021-07-23 00:25:06,-13.9669,33.7873,62.92,61,45,4.05
157,Emerald,AU,2021-07-23 00:29:21,-23.5333,148.1667,64.54,59,8,11.5
158,Sur,OM,2021-07-23 00:29:22,22.5667,59.5289,91.67,54,0,10.33
159,Villaviciosa,ES,2021-07-23 00:29:22,43.4813,-5.4357,73.09,90,89,3.29
160,Nantucket,US,2021-07-23 00:28:32,41.2835,-70.0995,72.0,84,20,6.91
161,Meulaboh,ID,2021-07-23 00:29:22,4.1363,96.1285,76.32,89,98,3.6
162,Linxia,CN,2021-07-23 00:29:23,35.6003,103.2064,69.62,65,97,1.1
163,Anadyr,RU,2021-07-23 00:29:23,64.75,177.4833,55.9,62,0,11.18
164,Chokurdakh,RU,2021-07-23 00:29:23,70.6333,147.9167,51.13,52,1,8.79
165,Coquimbo,CL,2021-07-23 00:29:24,-29.9533,-71.3436,51.53,87,75,1.14
166,Tiksi,RU,2021-07-23 00:26:45,71.6872,128.8694,44.69,75,100,7.43
167,Zambezi,ZM,2021-07-23 00:29:24,-13.5432,23.1047,52.57,29,13,7.27
168,Uni,RU,2021-07-23 00:29:24,57.7535,51.4923,49.5,93,3,7.16
169,Saint-Gilles,FR,2021-07-23 00:29:24,43.6766,4.4302,74.44,94,10,3.44
170,Sakaiminato,JP,2021-07-23 00:29:25,35.55,133.2333,84.18,70,75,5.75
171,Calbuco,CL,2021-07-23 00:29:25,-41.768,-73.1273,49.21,95,100,7.58
172,Severo-Kurilsk,RU,2021-07-23 00:26:58,50.6789,156.125,55.81,84,61,2.89
173,Yellowknife,CA,2021-07-23 00:27:36,62.456,-114.3525,70.32,64,75,6.91
174,Beringovskiy,RU,2021-07-23 00:29:25,63.05,179.3167,48.34,90,34,8.7
175,Namibe,AO,2021-07-23 00:29:25,-15.1961,12.1522,65.25,76,1,3.09
176,Bone,DE,2021-07-23 00:29:26,51.9669,12.1396,63.43,86,91,3.38
177,Arlit,NE,2021-07-23 00:29:26,18.7369,7.3853,88.61,39,100,5.93
178,Tungor,RU,2021-07-23 00:29:26,53.3808,142.9564,74.26,70,65,4.79
179,Erenhot,CN,2021-07-23 00:29:26,43.6475,111.9767,81.07,37,82,10.85
180,Adre,TD,2021-07-23 00:29:27,13.4667,22.2,69.84,91,86,5.3
181,Castro,BR,2021-07-23 00:26:46,-24.7911,-50.0119,49.01,56,0,3.6
182,Russell,US,2021-07-23 00:29:27,32.3502,-85.1999,87.4,73,93,3.87
183,Ardakan,IR,2021-07-23 00:29:27,32.31,54.0175,88.18,14,24,6.49
184,Dukat,RU,2021-07-23 00:27:46,62.55,155.55,46.2,95,100,5.66
185,San Nicola,IT,2021-07-23 00:29:28,40.6116,8.991,70.88,57,0,1.45
186,Dohar,BD,2021-07-23 00:29:28,23.5883,90.1469,82.38,88,76,14.83
187,Nyurba,RU,2021-07-23 00:29:28,63.2842,118.3319,69.58,69,95,1.86
188,Terrace,CA,2021-07-23 00:29:29,54.5163,-128.6035,64.31,59,75,19.57
